                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.72811,                0.40738,                 1.1556,                0.98613,                 0.9834,                0.99222,                0.77964,                0.79084,                0.34487,                 1.0932,             0.00037227,             0.00037227,             0.00037227
                    137,                0.74557,                0.42222,                 1.1644,                0.98502,                0.97628,                0.99236,                0.79061,                0.78145,                0.33551,                 1.0879,             0.00036012,             0.00036012,             0.00036012
                    138,                0.70986,                0.40031,                 1.1549,                0.98612,                0.98278,                 0.9923,                0.79083,                 0.7879,                 0.3325,                 1.0888,             0.00034798,             0.00034798,             0.00034798
                    139,                0.72723,                0.40622,                  1.157,                0.98158,                0.98024,                0.99225,                0.79025,                0.78364,                0.34605,                 1.0898,             0.00033583,             0.00033583,             0.00033583
                    140,                0.70273,                0.39044,                 1.1479,                0.98218,                0.98012,                0.99229,                 0.7855,                0.78204,                0.34468,                 1.0868,             0.00032368,             0.00032368,             0.00032368
                    141,                0.71819,                0.40092,                 1.1459,                0.98223,                0.98335,                0.99212,                0.78699,                0.77277,                0.33448,                  1.084,             0.00031153,             0.00031153,             0.00031153
                    142,                0.72306,                0.40396,                 1.1447,                0.98388,                0.98221,                0.99257,                0.78933,                0.77889,                0.34102,                 1.0908,             0.00029939,             0.00029939,             0.00029939
                    143,                0.71422,                0.39777,                 1.1476,                0.98604,                0.98419,                 0.9926,                0.79125,                0.78554,                0.33498,                  1.096,             0.00028724,             0.00028724,             0.00028724
                    144,                0.70021,                0.39461,                 1.1451,                0.98706,                0.98617,                 0.9925,                0.78966,                0.78722,                0.33898,                 1.0957,             0.00027509,             0.00027509,             0.00027509
                    145,                0.70981,                0.39433,                 1.1409,                0.98611,                0.98215,                  0.992,                0.79392,                  0.771,                0.34931,                 1.0858,             0.00026294,             0.00026294,             0.00026294
                    146,                0.69514,                 0.3846,                 1.1339,                 0.9861,                0.98122,                0.99226,                0.78955,                0.78057,                0.34671,                 1.0934,              0.0002508,              0.0002508,              0.0002508
                    147,                 0.6993,                0.38714,                 1.1365,                0.98332,                0.98221,                 0.9923,                0.79242,                 0.7745,                0.34314,                  1.087,             0.00023865,             0.00023865,             0.00023865
                    148,                0.69856,                0.38806,                 1.1439,                 0.9815,                0.97826,                0.99153,                0.79011,                0.76876,                0.33978,                 1.0824,              0.0002265,              0.0002265,              0.0002265
                    149,                0.68592,                0.37978,                 1.1315,                0.98409,                0.97809,                0.99194,                0.79547,                0.77912,                0.34216,                 1.0908,             0.00021436,             0.00021436,             0.00021436
                    150,                0.69782,                0.38679,                 1.1415,                0.98754,                0.98221,                0.99244,                0.79492,                0.77624,                0.34169,                 1.0865,             0.00020221,             0.00020221,             0.00020221
                    151,                0.69522,                0.38384,                 1.1378,                0.98256,                0.98419,                0.99198,                0.78776,                0.77043,                0.33419,                 1.0819,             0.00019006,             0.00019006,             0.00019006
